709,84,765,168
755,89,832,220
272,95,313,170
974,102,1052,211
1096,125,1153,214
536,83,607,211
775,545,1107,720
37,128,70,197
952,52,1014,156
1102,169,1185,293
984,181,1120,407
779,223,980,489
1032,327,1266,663
375,257,667,646
1060,208,1234,499
1122,211,1237,340
187,108,251,196
310,103,396,186
1039,74,1085,175
403,69,454,189
973,103,1052,210
272,94,314,169
760,89,832,218
708,84,765,170
37,127,70,198
537,83,609,212
946,55,1006,152
1094,127,1153,214
778,547,1118,719
1102,170,1185,292
985,181,1116,408
374,256,670,643
1033,327,1266,663
743,222,982,488
573,57,606,129
188,112,249,197
287,101,392,262
305,103,396,183
1040,74,1085,179
969,102,1052,217
1060,208,1237,497
271,95,314,170
402,70,454,191
710,83,762,169
753,89,831,220
942,52,990,147
36,128,70,197
1095,129,1153,215
1103,170,1185,290
988,180,1107,406
779,546,1122,718
535,79,612,212
374,257,670,638
1032,327,1265,661
785,222,982,488
1168,149,1233,228
1121,210,1239,342
569,59,610,125
288,102,393,264
975,102,1051,210
1061,208,1237,496
305,103,396,183
1047,76,1098,193
187,99,251,198
273,97,314,169
702,85,760,167
402,70,454,189
754,89,833,221
1095,130,1154,215
949,51,1003,155
1103,170,1186,289
36,129,70,198
523,77,572,217
985,181,1117,410
778,548,1113,718
1028,331,1268,660
374,257,667,632
782,223,982,489
18,136,48,176
292,105,348,172
286,102,389,261
576,57,610,121
1116,209,1238,371
1071,210,1239,475
980,102,1051,208
960,61,1012,154
310,103,396,183
187,105,254,252
1050,77,1102,192
1098,129,1155,214
273,98,315,170
752,89,829,220
403,70,454,192
703,90,762,167
1108,170,1187,293
36,129,70,197
532,79,591,218
985,181,1112,408
778,545,1111,718
1032,372,1280,683
373,257,667,639
782,223,981,489
570,55,608,118
1120,211,1238,354
296,101,393,257
19,136,48,176
1047,76,1100,189
1062,209,1237,492
978,102,1050,208
310,102,396,183
187,106,256,252
1098,128,1155,213
699,93,762,169
756,89,834,221
271,99,314,170
402,70,454,190
958,70,1010,150
1105,171,1185,291
37,129,70,197
535,81,592,215
776,539,1106,720
988,179,1107,409
1032,348,1271,657
782,224,981,489
374,257,667,648
187,116,283,253
1169,147,1232,232
981,102,1051,204
186,116,251,197
1033,73,1076,169
695,94,763,168
272,98,314,171
310,101,396,182
750,101,831,223
403,70,454,190
527,79,608,214
1105,171,1184,293
1098,129,1158,213
36,133,70,198
1128,211,1237,356
955,71,1008,154
776,537,1105,720
985,181,1111,409
1032,349,1268,657
782,224,982,491
373,258,666,646
187,116,284,254
186,117,250,196
1034,74,1076,172
37,131,70,198
